贾代善,贾源,子
娄氏,贾源,重孙媳妇
贾母,贾代善,妻
老姨奶奶,贾代善,妾
贾敏,贾代善,女
嫣红,贾赦,妾
翠云,贾赦,妾
娇红,贾赦,妾
贾迎春,贾赦,女
赵姨娘,贾政,妾
周姨娘,贾政,妾
贾珠,贾政,子
尤二姐,贾琏,妾
秋桐,贾琏,妾
平儿,贾琏,妾
薛宝衩,贾宝玉,妻
花袭人,贾宝玉,妾
贾桂,贾宝玉,子
贾菌,娄氏,子
周秀才,贾巧姐,姐夫
周财主,周秀才,父亲
周妈妈,周秀才,母亲
孙亲太太,孙绍祖,母亲
刑大舅二姐,邢夫人,妹
邢德全,邢夫人,弟
张大老爷,邢夫人,老亲
邢忠,邢夫人,兄
张大老爷之女,张大老爷,女
刑秞烟,邢忠,女
李婶,李守中,弟媳
李婶之弟,李婶,弟
李纹,李婶,女
甄宝玉,李绮,夫
甄应嘉,甄宝玉祖母,子
甄夫人,甄应嘉,妻
大姑娘,甄应嘉,女
二姑娘,甄应嘉,女
三姑娘,甄应嘉,女
袭人之母,袭人,母亲
花自芳,袭人,兄
周琼之子,贾探春,夫
林如海之父,林如海,父亲
林如海之祖,林如海,祖父
林如海之子,林如海,子
李妈,贾巧姐,乳母
昭儿,贾琏,奴仆
兴儿,贾琏,奴仆
隆儿,贾琏,奴仆
庆儿,贾琏,奴仆
赵嬷嬷,贾琏,乳母
赵天梁,赵嬷嬷,子
赵天栋,赵嬷嬷,子
王信,贾琏,奴仆
王信媳妇,贾琏,奴仆
鲍二,贾琏,奴仆
善姐,尤二姐,丫鬟
迎春乳母,贾迎春,乳母
王住儿媳妇,迎春乳母,子媳
绣桔,贾迎春,丫鬟
莲花儿,贾迎春,丫鬟
秦思祺,贾迎春,丫鬟
潘又安,秦思祺,男友
贾琮奶妈,贾琮,乳母
篆儿,刑秞烟,丫鬟
新进来的奶子,贾兰,奶妈
素云,李纨,丫鬟
碧月,李纨,丫鬟
抱琴,贾元春,丫鬟
李嬷嬷,贾宝玉,乳母
赵嬷嬷,贾宝玉,乳母
张嬷嬷,贾宝玉,乳母
宋嬷嬷,贾宝玉,奴仆
叶茗烟,贾宝玉,奴仆
锄药,贾宝玉,奴仆
扫红,贾宝玉,奴仆
墨雨,贾宝玉,奴仆
引泉,贾宝玉,奴仆
扫花,贾宝玉,奴仆
挑云,贾宝玉,奴仆
伴鹤,贾宝玉,奴仆
双瑞,贾宝玉,奴仆
双寿,贾宝玉,奴仆
老叶妈,叶茗烟,母亲
李贵,李嬷嬷,子
李嬷嬷孙子,贾宝玉,奴仆
王荣,贾宝玉,奴仆
张若锦,贾宝玉,奴仆
赵亦华,贾宝玉,奴仆
周瑞,王夫人,奴仆
周瑞女儿,周瑞,女
冷子兴,周瑞,女婿
周嫂子的儿子,周瑞,子
何三,周瑞,干儿子
白金钏,王夫人,丫鬟
白玉钏,王夫人,丫鬟
彩云,王夫人,丫鬟
彩鸾,王夫人,丫鬟
绣鸾,王夫人,丫鬟
绣凤,王夫人,丫鬟
白老媳妇,白金钏,母亲
白老媳妇,白玉钏,母亲
彩霞之母,彩霞,母亲
小霞,彩霞,妹
小鹊,赵姨娘,丫鬟
小吉祥,赵姨娘,丫鬟
赵国基,赵姨娘,兄
钱槐,赵姨娘,表兄
钱槐,贾环,奴仆
雪雁,林黛玉,丫鬟
王嬷嬷,林黛玉,乳母
