邢岫烟,薛蝌,1
邢德全,邢夫人,1
邢忠,邢夫人,1
金彩,金鸳鸯,1
金鸳鸯,贾母,1
钱槐,赵姨娘,1
钱槐,贾环,1
隆儿,贾琏,1
雪雁,林黛玉,1
香菱,薛蟠,1
鲍二,贾琏,1
鹦鹉,贾母,1
麝月,贾宝玉,1
龄官,贾蔷,1
